inst_hash,base_features_runtime,clauses,variables,cls1,cls2,cls3,cls4,cls5,cls6,cls7,cls8,cls9,cls10p,horn,invhorn,positive,negative,hornvars_mean,hornvars_variance,hornvars_min,hornvars_max,hornvars_entropy,invhornvars_mean,invhornvars_variance,invhornvars_min,invhornvars_max,invhornvars_entropy,balancecls_mean,balancecls_variance,balancecls_min,balancecls_max,balancecls_entropy,balancevars_mean,balancevars_variance,balancevars_min,balancevars_max,balancevars_entropy,vcg_vdegree_mean,vcg_vdegree_variance,vcg_vdegree_min,vcg_vdegree_max,vcg_vdegree_entropy,vcg_cdegree_mean,vcg_cdegree_variance,vcg_cdegree_min,vcg_cdegree_max,vcg_cdegree_entropy,vg_degree_mean,vg_degree_variance,vg_degree_min,vg_degree_max,vg_degree_entropy,cg_degree_mean,cg_degree_variance,cg_degree_min,cg_degree_max,cg_degree_entropy,bytes,ccs
00d1fe07ab948b348bb3fb423b1ef40d,15159,5068,0,10044,5114,0,0,0,0,0,0,1,10771,7888,2227,6567,4.39,10.40,1,46,0.43,3.98,6.44,1,28,0.51,0.33,0.17,0,1,0.57,0.72,0.01,0.50,1,0.01,7.00,17.24,3,50,0.38,2.34,0.25,2,23,0.58,17.11,109.72,7,125,0.37,22.12,210.81,8,141,0.64,217479,1,0
02066c116dbacc40ec5cca2067db26c0,16408,2672,128,7744,5852,2288,396,0,0,0,0,0,14574,2409,220,6876,13.69,81.13,0,32,0.85,2.56,6.39,0,9,0.90,0.33,0.11,0,1,0.57,0.44,0.09,0.05,1,0.05,16.58,87.45,0,40,0.85,2.70,0.65,1,5,0.70,48.76,861.53,0,124,0.86,59.01,644.28,12,160,0.89,260578,101,0
0265448c232e3a25aa5bcd29b1b14567,4498,500,0,4098,0,98,204,98,0,0,0,0,4098,400,400,4098,16.39,3.09,12,20,0.89,4,0,4,4,0,0,0,0,0,0,0.25,0.00,0.20,0.33,0.05,20.39,3.09,16,24,0.89,2.27,0.77,2,6,0.28,53.18,27.81,40,64,0.89,46.57,342.88,33,139,0.69,55762,1,0
02e4f23ed59566d343b605dc2cc30a01,13231616,22528,0,2080768,11141120,0,0,0,0,0,0,9728,13221888,2048,2048,13221888,1668.36,6349269.69,16,8192,0.99,1,0,1,1,0,0.00,0.00,0,0.01,0.00,0.22,0.08,0.00,0.80,0.99,2164.59,10210293.51,17,9217,0.98,3.69,1481.53,2,2050,0.23,878141.82,5763322741822.78,43,8411147,0.98,25361.33,111382430844.05,34,18892818,0.52,332485992,1,19
02f6ca52f1ada872d82035088701b66a,33181429,2705815,465777,28065666,3470919,425543,55,25,36,58,22,753328,29692929,6668298,988988,24850453,22.47,2511.36,0,9516,0.38,12.42,1422.68,0,14905,0.32,0.15,0.10,0,1,0.16,0.57,0.15,0.00,1,0.00,35.34,9145.42,0,19014,0.38,2.88,42.89,1,11679,0.11,627.82,6584587.22,0,84771,0.39,847.64,8333728.76,3,171094,0.36,839747624,42341,47
04ded94454830d4ea960327e8b91f5a3,4386,792,1,446,1171,2768,0,0,0,0,0,0,2505,2175,38,81,10.62,371.43,4,136,0.48,9.42,383.10,2,136,0.49,0.44,0.05,0,1,0.55,0.90,0.01,0.67,1,0.02,19.54,1529.51,5,272,0.54,3.53,0.45,1,4,0.63,71.48,24950.13,12,1088,0.52,345.16,88035.57,5,792,0.83,68489,1,0
04e219c640ed59dc68ea2d50493de5b5,25200,6360,0,10125,11700,3375,0,0,0,0,0,0,16475,18850,25,2900,6.71,214.28,2,90,0.52,7.30,41.89,4,45,0.20,0.62,0.12,0,1,0.64,0.79,0.04,0.60,1,0.00,10.83,188.05,8,90,0.19,2.73,0.46,2,4,0.90,31.42,1711.39,22,270,0.63,77.04,4942.21,24,238,0.90,423562,1,0
05c8e94aaee86390eaf6e68dd3ec3570,7823,1419,2,0,7821,0,0,0,0,0,0,0,7460,365,365,7458,15.77,98.37,0,31,0.78,0.77,0.18,0,2,0.50,0,0,0,0,0,0.06,0.01,0.03,1,0.06,16.54,105.88,0,32,0.78,3.00,0.00,1,3,0.00,49.61,952.88,0,96,0.77,68.81,92.47,6,96,0.80,133355,331,0
05ed64e4e6229f446082752936768489,20950,990,5,20462,2,4,5,7,4,4,4,453,20467,13748,1,7206,41.34,227.51,10,79,0.89,34.05,80.42,10,74,0.89,0.63,0.23,0,1,0.16,0.16,0.01,0.04,0.49,0.27,48.60,473.77,11,114,0.89,2.30,3.98,1,26,0.05,195.82,19409.03,23,669,0.90,133.99,20719.40,18,1794,0.74,254975,1,0
07b476c83150d3cb7e08f5d045e255ab,512,105,0,0,32,192,288,0,0,0,0,0,130,130,25,25,5.31,6.27,2,10,0.86,5.31,6.31,2,10,0.86,0.50,0.09,0,1,0.76,1,0,1,1,0,21.94,56.11,8,32,0.89,4.50,0.38,3,5,0.79,100.57,1886.91,24,160,0.89,110.25,1528.94,24,160,0.90,8932,1,0
