solver_hash,solver_name,solver_base,version
,AMSAT,minisat,main2024
,AMSAT_RGC,minisat,main2024
,CaDiCaL,cadical,main2024
,Cadical_ESA,cadical,main2024
,IsaSAT,isasat,main2024
,Kissat_MAB-DC,kissat,main2024
,Kissat_MAB_Binary,kissat,main2024
,Kissat_MAB_ESA,kissat,main2024
,hCaD-bva,cadical,main2024
,hCaD-pbva,cadical,main2024
,hKis-bva,kissat,main2024
,hKis-pbva,kissat,main2024
,kissat-sc2024,kissat,main2024
,AMSAT_,minisat,main2023
,BreakID-kissat-low.sh,kissat,main2023
,CaDiCaL_vivinst,cadical,main2023
,Cadical_ESA,cadical,main2023
,Cadical_rel_1.5.3.Scavel,cadical,main2023
,IsaSAT,isasat,main2023
,Kissat_Inc_ESA,kissat,main2023
,Kissat_MAB_Binary,kissat,main2023
,Kissat_MAB_Conflict,kissat,main2023
,Kissat_MAB_Conflict+,kissat,main2023
,Kissat_MAB_DeepWalk+,kissat,main2023
,Kissat_MAB_ESA,kissat,main2023
,Kissat_MAB_Rephases,kissat,main2023
,Kissat_MAB_prop,kissat,main2023
,Kissat_MAB_prop-no_sym,kissat,main2023
,Kissat_MAB_prop_pr-no_sym,kissat,main2023
,MapleCaDiCaL_LBD-990_275,cadical,main2023
,MapleCaDiCaL_LBD-990_500,cadical,main2023
,MapleCaDiCaL_PPD-500_500,cadical,main2023
,MapleCaDiCaL_PPD-950_950,cadical,main2023
,MergeSat-bve_gates,minisat,main2023
,MergeSat-bve_semgates,minisat,main2023
,MergeSat-thread1,minisat,main2023
,MiniSat+XorEngine,minisat,main2023
,PReLearn-kissat-PReLearn-kissat.sh,kissat,main2023
,PReLearn-kissat-PReLearn-tern-kissat.sh,kissat,main2023
,ReEncode-kissat-ReEncode-pair-kissat.sh,kissat,main2023
,SBVA-sbva_cadical,cadical,main2023
,SBVA-sbva_kissat,kissat,main2023
,SeqFROST,minisat,main2023
,SeqFROST-ERE-All,minisat,main2023
,SeqFROST-NoExtend,minisat,main2023
,hKis-psids,kissat,main2023
,hKis-sat_psids,kissat,main2023
,hKis-unsat,kissat,main2023
,hKissatInc-unsat,kissat,main2023
,kissat-3.1.0,kissat,main2023
,kissat-hywalk-exp,kissat,main2023
,kissat-hywalk-exp-gb,kissat,main2023
,kissat-hywalk-gb,kissat,main2023
,kissat_incsp,kissat,main2023
,tabularasat-1.0.0,tabularasat,main2023
,CaDiCaL-watchsat-lto,cadical,main2022
,CaDiCaL_DVDL_V1,cadical,main2022
,CaDiCaL_DVDL_V2,cadical,main2022
,CadicalReorder,cadical,main2022
